window,timestamp_clock,rf_label,sgd_label,agreement,confidence,cumulative_agreement_pct
88,17:15:42,Quiet / Rest,Quiet / Rest,True,,68.35
89,17:17:30,Quiet / Rest,Quiet / Rest,True,,68.75
90,17:19:26,Quiet / Rest,Quiet / Rest,True,,69.14
91,17:20:54,Quiet / Rest,Quiet / Rest,True,0.7289,69.51
92,17:22:13,Wake / Active,Wake / Active,True,,69.88
93,17:23:30,Wake / Active,Quiet / Rest,False,,69.05
94,17:24:47,Wake / Active,Wake / Active,True,,69.41
95,17:25:49,Wake / Active,Quiet / Rest,False,,68.6
96,17:27:00,Wake / Active,Wake / Active,True,,68.97
97,17:28:29,Wake / Active,Wake / Active,True,,69.32
98,17:29:38,Wake / Active,Wake / Active,True,,69.66
99,17:30:45,Quiet / Rest,Wake / Active,False,,68.89
100,17:32:02,Wake / Active,Wake / Active,True,,69.23
101,17:33:16,Quiet / Rest,Quiet / Rest,True,0.8722,69.57
102,17:34:53,Wake / Active,Wake / Active,True,0.9878,69.89
103,17:36:06,Wake / Active,Wake / Active,True,,70.21
104,17:37:15,Wake / Active,Wake / Active,True,0.5856,70.53
105,17:38:17,Wake / Active,Wake / Active,True,,70.83
106,17:39:37,Wake / Active,Quiet / Rest,False,0.9288,70.1
107,17:40:51,Quiet / Rest,Wake / Active,False,0.9744,69.39
108,17:45:14,Wake / Active,Wake / Active,True,,69.7
109,17:46:46,Quiet / Rest,Wake / Active,False,,69.0
110,17:49:34,Quiet / Rest,Quiet / Rest,True,,69.31
111,17:51:03,Wake / Active,Wake / Active,True,,69.61
112,17:52:25,Quiet / Rest,Quiet / Rest,True,,69.9
113,17:53:43,Wake / Active,Quiet / Rest,False,0.5533,69.23
114,17:54:51,Wake / Active,Wake / Active,True,,69.52
115,17:56:12,Wake / Active,Wake / Active,True,,69.81
116,17:57:20,Wake / Active,Wake / Active,True,,70.09
117,17:58:31,Wake / Active,Wake / Active,True,,70.37
118,17:59:45,Quiet / Rest,Wake / Active,False,,69.72
119,18:01:25,Wake / Active,Wake / Active,True,,70.0
120,18:02:50,Wake / Active,Wake / Active,True,,70.27
121,18:04:29,Quiet / Rest,Wake / Active,False,,69.64
122,18:05:45,Wake / Active,Wake / Active,True,,69.91
123,18:07:05,Wake / Active,Wake / Active,True,,70.18
124,18:08:37,Wake / Active,Wake / Active,True,,70.43
125,18:10:23,Wake / Active,Wake / Active,True,,70.69
126,18:11:35,Wake / Active,Wake / Active,True,,70.94
127,18:12:42,Wake / Active,Wake / Active,True,,71.19
128,18:14:13,Quiet / Rest,Wake / Active,False,,70.59
129,18:15:31,Quiet / Rest,Wake / Active,False,,70.0
130,18:17:00,Quiet / Rest,Quiet / Rest,True,,70.25
