window_start_frame,window_end_frame,dominant_state,total_distance_px,active_frames,inactive_frames,dominant_zone,thigmotaxis_ratio,stereotypy_flag,behavior_notes
774000,783000,Quiet / Rest,1295.67,153,479,Center,0.1203,True,
783000,792000,Quiet / Rest,132.94,8,59,Center,0.0,True,
792000,801000,Quiet / Rest,6.0,1,2,Center,0.0,True,
801000,810000,Quiet / Rest,334.66,51,99,Center,0.0067,True,
810000,819000,Quiet / Rest,74.0,14,22,Center,0.0,True,
819000,828000,Quiet / Rest,41.63,0,26,Center,0.0,False,
828000,837000,Quiet / Rest,54.06,0,42,Center,0.0238,False,
837000,846000,Quiet / Rest,176.51,31,41,MidRight,0.7222,False,
846000,855000,Quiet / Rest,4972.08,731,1040,Center,0.2637,False,
855000,864000,Quiet / Rest,1066.47,173,280,Center,0.0,True,
864000,873000,Quiet / Rest,73.45,2,33,Center,0.0,False,
873000,882000,Quiet / Rest,58.66,2,27,Center,0.0,False,
882000,891000,Quiet / Rest,120.59,18,34,Center,0.0,True,
891000,900000,Quiet / Rest,152.92,14,67,Center,0.4691,False,
900000,909000,Quiet / Rest,111.16,15,36,Center,0.1373,True,
909000,918000,Quiet / Rest,198.21,32,54,Center,0.0233,False,
918000,927000,Quiet / Rest,175.96,32,35,Center,0.1642,False,
927000,936000,Quiet / Rest,49.06,9,15,Center,0.2917,False,
936000,945000,Quiet / Rest,36.25,0,26,Center,0.0,False,
945000,954000,Quiet / Rest,219.9,42,51,Center,0.0,True,
954000,963000,Quiet / Rest,90.83,9,33,Center,0.0,True,
963000,972000,Quiet / Rest,3689.58,455,1033,Center,0.2151,False,
972000,981000,Wake / Active,8294.72,1555,1184,MidRight,0.7444,False,
981000,990000,Wake / Active,10214.66,1793,1167,Center,0.4118,False,
990000,999000,Wake / Active,7340.84,1106,1123,Center,0.2822,False,
999000,1008000,Wake / Active,7265.89,1262,1072,MidLeft,0.6748,False,
1008000,1017000,Wake / Active,9778.89,1694,1482,Center,0.5831,False,
1017000,1026000,Quiet / Rest,5317.64,644,1887,Center,0.2394,True,
1026000,1035000,Quiet / Rest,1633.37,119,700,Center,0.0159,False,
1035000,1044000,Quiet / Rest,371.8,59,103,Center,0.2469,True,
1044000,1053000,Quiet / Rest,114.37,17,31,Center,0.0833,True,
1053000,1062000,Quiet / Rest,57.41,4,29,Center,0.0,False,
1062000,1071000,Quiet / Rest,61.41,1,42,Center,0.0698,False,
